PassengerId,Survived,Pclass,Sex,Age,Fare,Embarked,Title,FamilySize
1,0,3,0,22.0,2.1102132003465894,2,2,1.0
2,1,1,1,38.0,4.2805931204649,0,3,1.0
3,1,3,1,26.0,2.188856327665703,2,1,0.0
4,1,1,1,35.0,3.9908341858524357,2,3,1.0
5,0,3,0,35.0,2.2027647577118348,2,2,0.0
6,0,3,0,29.0,2.246892662898172,1,2,0.0
7,0,1,0,54.0,3.967694202798607,2,2,0.0
8,0,3,0,2.0,3.0944457464900235,2,0,4.0
9,1,3,1,27.0,2.495953738718064,2,3,2.0
10,1,2,1,14.0,3.436268471383741,0,3,1.0
11,1,3,1,4.0,2.8735646395797834,2,1,2.0
12,1,1,1,58.0,3.3160025355989236,2,1,0.0
13,0,3,0,20.0,2.2027647577118348,2,2,0.0
14,0,3,0,39.0,3.4742929367327062,2,2,6.0
15,0,3,1,14.0,2.180891922715322,2,1,0.0
16,1,2,1,55.0,2.833213344056216,2,3,0.0
17,0,3,0,2.0,3.405355391810819,1,0,5.0
18,1,2,0,29.0,2.6390573296152584,2,2,0.0
19,0,3,1,31.0,2.9444389791664403,2,3,1.0
20,1,3,1,29.0,2.1071782966514356,0,3,0.0
21,0,2,0,35.0,3.295836866004329,2,2,0.0
22,1,2,0,34.0,2.6390573296152584,2,2,0.0
23,1,3,1,15.0,2.2004637699272855,1,1,0.0
24,1,1,0,28.0,3.597312260588446,2,2,0.0
25,0,3,1,8.0,3.0944457464900235,2,1,4.0
26,1,3,1,38.0,3.4777725458882283,2,3,6.0
27,0,3,0,29.0,2.1071782966514356,0,2,0.0
28,0,1,0,19.0,5.575949103146316,2,2,5.0
29,1,3,1,29.0,2.1837114628556327,1,1,0.0
30,0,3,0,29.0,2.1855792552411137,2,2,0.0
31,0,1,0,40.0,3.357621598945279,0,4,0.0
32,1,1,1,29.0,4.993969182787072,0,3,1.0
33,1,3,1,29.0,2.169053700369523,1,1,0.0
34,0,2,0,66.0,2.4423470353692043,2,2,0.0
35,0,1,0,28.0,4.420896324687287,0,2,1.0
36,0,1,0,42.0,3.970291913552122,2,2,1.0
37,1,3,0,29.0,2.1076888046179385,0,2,0.0
38,0,3,0,21.0,2.2027647577118348,2,2,0.0
39,0,3,1,18.0,2.9444389791664403,2,1,2.0
40,1,3,1,14.0,2.5048481563289,0,1,1.0
41,0,3,1,40.0,2.348991465808201,2,3,1.0
42,0,2,1,27.0,3.091042453358316,2,3,1.0
43,0,3,0,29.0,2.1855792552411137,0,2,0.0
44,1,2,1,3.0,3.7513658711253766,0,1,3.0
45,1,3,1,19.0,2.1837114628556327,1,1,0.0
46,0,3,0,29.0,2.2027647577118348,2,2,0.0
47,0,3,0,29.0,2.803360380906535,1,2,1.0
48,1,3,1,29.0,2.169053700369523,1,1,0.0
49,0,3,0,29.0,3.1214482048688246,0,2,2.0
50,0,3,1,18.0,2.9338568698359038,2,3,1.0
51,0,3,0,7.0,3.705920919968788,2,0,5.0
52,0,3,0,21.0,2.174751721484161,2,2,0.0
53,1,1,1,49.0,4.353230991152628,0,3,1.0
54,1,2,1,29.0,3.295836866004329,2,3,1.0
55,0,1,0,65.0,4.142804513146981,0,2,1.0
56,1,1,0,29.0,3.597312260588446,2,2,0.0
57,1,2,1,21.0,2.4423470353692043,2,1,0.0
58,0,3,0,28.5,2.1076888046179385,0,2,0.0
59,1,2,1,5.0,3.3586377672433594,2,1,3.0
60,0,3,0,11.0,3.8691155044168695,2,0,7.0
61,0,3,0,22.0,2.1076888046179385,0,2,0.0
62,1,1,1,38.0,4.394449154672439,3,1,0.0
63,0,1,0,45.0,4.436455632600354,2,2,1.0
64,0,3,0,4.0,3.3638415951183864,2,0,5.0
65,0,1,0,29.0,3.357621598945279,0,2,0.0
66,1,3,0,29.0,2.7878344138303452,0,0,2.0
67,1,2,1,29.0,2.4423470353692043,2,3,0.0
68,0,3,0,19.0,2.2146605719425225,2,2,0.0
69,1,3,1,17.0,2.188856327665703,2,1,6.0
70,0,3,0,26.0,2.2682524139135403,2,2,2.0
71,0,2,0,32.0,2.4423470353692043,2,2,0.0
72,0,3,1,16.0,3.8691155044168695,2,1,7.0
73,0,2,0,21.0,4.310799125385514,2,2,0.0
74,0,3,0,26.0,2.737880811060884,0,2,1.0
75,1,3,0,32.0,4.05171190165724,2,2,0.0
76,0,3,0,25.0,2.157559320943788,2,2,0.0
77,0,3,0,29.0,2.1855792552411137,2,2,0.0
78,0,3,0,29.0,2.2027647577118348,2,2,0.0
79,1,2,0,0.83,3.4011973816621555,2,0,2.0
80,1,3,1,30.0,2.600836116795061,2,1,0.0
81,0,3,0,22.0,2.302585092994046,2,2,0.0
82,1,3,0,29.0,2.3513752571634776,2,2,0.0
83,1,3,1,29.0,2.1733302571367834,1,1,0.0
84,0,1,0,28.0,3.8732821771117156,2,2,0.0
85,1,2,1,17.0,2.4423470353692043,2,1,0.0
86,1,3,1,33.0,2.8243506567983707,2,3,3.0
87,0,3,0,16.0,3.5660053559634015,2,2,4.0
88,0,3,0,29.0,2.2027647577118348,2,2,0.0
89,1,1,1,23.0,5.575949103146316,2,1,5.0
90,0,3,0,24.0,2.2027647577118348,2,2,0.0
91,0,3,0,29.0,2.2027647577118348,2,2,0.0
92,0,3,0,20.0,2.180891922715322,2,2,0.0
93,0,1,0,46.0,4.1299529896894684,2,2,1.0
94,0,3,0,26.0,3.0715352369694915,2,2,3.0
95,0,3,0,59.0,2.1102132003465894,2,2,0.0
96,0,3,0,29.0,2.2027647577118348,2,2,0.0
97,0,1,0,71.0,3.57386695198272,0,2,0.0
98,1,1,0,23.0,4.164465907853638,0,2,1.0
99,1,2,1,34.0,3.1780538303479458,2,3,1.0
100,0,2,0,34.0,3.295836866004329,2,2,1.0
101,0,3,1,28.0,2.1855792552411137,2,1,0.0
102,0,3,0,29.0,2.1855792552411137,2,2,0.0
103,0,1,0,21.0,4.360387947851531,2,2,1.0
104,0,3,0,33.0,2.267393053825037,2,2,0.0
105,0,3,0,37.0,2.188856327665703,2,2,2.0
106,0,3,0,28.0,2.1855792552411137,2,2,0.0
107,1,3,1,21.0,2.157559320943788,2,1,0.0
108,1,3,0,29.0,2.1719067693519296,2,2,0.0
109,0,3,0,38.0,2.1855792552411137,2,2,0.0
110,1,3,1,29.0,3.224857896545748,1,1,1.0
111,0,1,0,47.0,3.970291913552122,2,2,0.0
112,0,3,1,14.5,2.737880811060884,0,1,1.0
113,0,3,0,22.0,2.2027647577118348,2,2,0.0
114,0,3,1,20.0,2.3818582738885534,2,1,1.0
115,0,3,1,17.0,2.738146075922933,0,1,0.0
116,0,3,0,21.0,2.188856327665703,2,2,0.0
117,0,3,0,70.5,2.169053700369523,1,2,0.0
118,0,2,0,29.0,3.091042453358316,2,2,1.0
119,0,1,0,24.0,5.515526544247129,0,2,1.0
120,0,3,1,2.0,3.4742929367327062,2,1,6.0
121,0,2,0,21.0,4.310799125385514,2,2,2.0
122,0,3,0,29.0,2.2027647577118348,2,2,0.0
123,0,2,0,32.5,3.436268471383741,0,2,1.0
124,1,2,1,32.5,2.6390573296152584,2,1,0.0
125,0,1,0,54.0,4.360387947851531,2,2,1.0
126,1,3,0,12.0,2.5048481563289,0,0,1.0
127,0,3,0,29.0,2.169053700369523,1,2,0.0
128,1,3,0,24.0,2.0969990034181696,2,2,0.0
129,1,3,1,29.0,3.1509523813392697,0,1,2.0
130,0,3,0,45.0,2.076311648670908,2,2,0.0
131,0,3,0,33.0,2.1855792552411137,0,2,0.0
132,0,3,0,20.0,2.0856720914304723,2,2,0.0
133,0,3,1,47.0,2.740840023925201,2,3,1.0
134,1,2,1,29.0,3.295836866004329,2,3,1.0
135,0,2,0,25.0,2.6390573296152584,2,2,0.0
136,0,2,0,23.0,2.775447133088262,0,2,0.0
137,1,1,1,19.0,3.3062747934011893,2,1,2.0
138,0,1,0,37.0,3.9908341858524357,2,2,1.0
139,0,3,0,16.0,2.3240236363515288,2,2,0.0
140,0,1,0,24.0,4.384523514872469,0,2,0.0
141,0,3,1,29.0,2.7878344138303452,0,3,2.0
142,1,3,1,22.0,2.169053700369523,2,1,0.0
143,1,3,1,24.0,2.8243506567983707,2,3,1.0
144,0,3,0,19.0,2.0476928433652555,1,2,0.0
145,0,2,0,18.0,2.5257286443082556,2,2,0.0
146,0,2,0,19.0,3.6309854756950335,2,2,2.0
147,1,3,0,27.0,2.174274334826008,2,2,0.0
148,0,3,1,9.0,3.5660053559634015,2,1,4.0
149,0,2,0,36.5,3.295836866004329,2,2,2.0
150,0,2,0,42.0,2.6390573296152584,2,4,0.0
151,0,2,0,51.0,2.6045398247325453,2,4,0.0
152,1,1,1,22.0,4.213607983048918,2,3,1.0
153,0,3,0,55.5,2.2027647577118348,2,2,0.0
154,0,3,0,40.5,2.740840023925201,2,2,2.0
155,0,3,0,29.0,2.1177604059819726,2,2,0.0
156,0,1,0,51.0,4.133231886474144,0,2,1.0
157,1,3,1,16.0,2.167143305297764,1,1,0.0
158,0,3,0,30.0,2.2027647577118348,2,2,0.0
159,0,3,0,29.0,2.2682524139135403,2,2,0.0
160,0,3,0,29.0,4.256321678298823,2,0,10.0
161,0,3,0,44.0,2.8390784635086144,2,2,1.0
162,1,2,1,40.0,2.8183982582710754,2,3,0.0
163,0,3,0,26.0,2.1719067693519296,2,2,0.0
164,0,3,0,17.0,2.2682524139135403,2,2,0.0
165,0,3,0,1.0,3.705920919968788,2,0,5.0
166,1,3,0,9.0,3.0692150503137943,2,0,2.0
167,1,1,1,29.0,4.02535169073515,2,3,1.0
168,0,3,1,45.0,3.3638415951183864,2,3,5.0
169,0,1,0,29.0,3.2930552230424524,2,2,0.0
170,0,3,0,28.0,4.05171190165724,2,2,0.0
171,0,1,0,61.0,3.5409593240373143,2,2,0.0
172,0,3,0,4.0,3.405355391810819,1,0,5.0
173,1,3,1,1.0,2.495953738718064,2,1,2.0
174,0,3,0,21.0,2.188856327665703,2,2,0.0
175,0,1,0,56.0,3.4561841799918147,0,2,0.0
176,0,3,0,18.0,2.180891922715322,2,2,2.0
177,0,3,0,29.0,3.275887339030031,2,0,4.0
178,0,1,1,50.0,3.391567832686312,0,1,0.0
179,0,2,0,30.0,2.6390573296152584,2,2,0.0
180,0,3,0,36.0,0.0,2,2,0.0
181,0,3,1,29.0,4.256321678298823,2,1,10.0
182,0,2,0,29.0,2.775708849576025,0,2,0.0
183,0,3,0,9.0,3.4777725458882283,2,0,6.0
184,1,2,0,1.0,3.6888794541139363,2,0,3.0
185,1,3,1,4.0,3.1365805821413706,2,1,2.0
186,0,1,0,29.0,3.9318256327243257,2,2,0.0
187,1,3,1,29.0,2.803360380906535,1,3,1.0
188,1,1,0,45.0,3.3160025355989236,2,2,0.0
189,0,3,0,40.0,2.803360380906535,1,2,2.0
190,0,3,0,36.0,2.1855792552411137,2,2,0.0
191,1,2,1,32.0,2.6390573296152584,2,3,0.0
192,0,2,0,19.0,2.6390573296152584,2,2,0.0
193,1,3,1,19.0,2.180891922715322,2,1,1.0
194,1,2,0,3.0,3.295836866004329,2,0,2.0
195,1,1,1,44.0,3.357621598945279,0,3,0.0
196,1,1,1,58.0,4.993969182787072,0,1,0.0
197,0,3,0,29.0,2.169053700369523,1,2,0.0
198,0,3,0,42.0,2.2411563979973974,2,2,1.0
199,1,3,1,29.0,2.169053700369523,1,1,0.0
200,0,2,1,24.0,2.6390573296152584,2,1,0.0
201,0,3,0,28.0,2.3513752571634776,2,2,0.0
202,0,3,0,29.0,4.256321678298823,2,2,10.0
203,0,3,0,34.0,2.0143428636837015,2,2,0.0
204,0,3,0,45.5,2.1071782966514356,0,2,0.0
205,1,3,0,18.0,2.2027647577118348,2,2,0.0
206,0,3,1,2.0,2.4390808375825834,2,1,1.0
207,0,3,0,32.0,2.8243506567983707,2,2,1.0
208,1,3,0,26.0,2.9850504252071306,0,2,0.0
209,1,3,1,16.0,2.169053700369523,1,1,0.0
210,1,1,0,40.0,3.4657359027997265,0,2,0.0
211,0,3,0,24.0,2.0856720914304723,2,2,0.0
212,1,2,1,35.0,3.091042453358316,2,1,0.0
213,0,3,0,22.0,2.1102132003465894,2,2,0.0
214,0,2,0,30.0,2.6390573296152584,2,2,0.0
215,0,3,0,29.0,2.169053700369523,1,2,1.0
216,1,1,1,31.0,4.738607824217808,0,1,1.0
217,1,3,1,27.0,2.188856327665703,2,1,0.0
218,0,2,0,42.0,3.332204510175204,2,2,1.0
219,1,1,1,32.0,4.347586575960343,0,1,0.0
220,0,2,0,30.0,2.4423470353692043,2,2,0.0
221,1,3,0,16.0,2.2027647577118348,2,2,0.0
222,0,2,0,27.0,2.6390573296152584,2,2,0.0
223,0,3,0,51.0,2.2027647577118348,2,2,0.0
224,0,3,0,29.0,2.1855792552411137,2,2,0.0
225,1,1,0,38.0,4.51085950651685,2,2,1.0
226,0,3,0,22.0,2.336986519711378,2,2,0.0
227,1,2,0,19.0,2.4423470353692043,2,2,0.0
228,0,3,0,20.5,2.1102132003465894,2,2,0.0
229,0,2,0,18.0,2.6390573296152584,2,2,0.0
230,0,3,1,29.0,3.275887339030031,2,1,4.0
231,1,1,1,35.0,4.436455632600354,2,3,1.0
232,0,3,0,29.0,2.1719067693519296,2,2,0.0
