PassengerId,Pclass,Sex,Age,Fare,Embarked,Title,FamilySize
332,1,0,45.5,3.3843902633457743,2,2,0.0
734,2,0,23.0,2.6390573296152584,2,2,0.0
383,3,0,32.0,2.188856327665703,2,2,0.0
705,3,0,26.0,2.180891922715322,2,2,1.0
814,3,1,6.0,3.4742929367327062,2,1,6.0
119,1,0,24.0,5.515526544247129,0,2,1.0
537,1,0,45.0,3.3160025355989236,2,4,0.0
362,2,0,29.0,3.357621598945279,0,2,1.0
30,3,0,29.0,2.1855792552411137,2,2,0.0
56,1,0,29.0,3.597312260588446,2,2,0.0
866,2,1,42.0,2.6390573296152584,2,3,0.0
596,3,0,36.0,3.224857896545748,2,2,2.0
240,2,0,33.0,2.5858825671280026,2,2,0.0
722,3,0,17.0,2.086193694502369,2,2,1.0
82,3,0,29.0,2.3513752571634776,2,2,0.0
260,2,1,50.0,3.295836866004329,2,3,1.0
487,1,1,35.0,4.51085950651685,2,3,1.0
717,1,1,38.0,5.4316456135398825,0,1,0.0
801,2,0,34.0,2.6390573296152584,2,2,0.0
782,1,1,17.0,4.060443010546419,2,3,1.0
543,3,1,11.0,3.4742929367327062,2,1,6.0
327,3,0,61.0,1.9792758428991135,2,2,0.0
535,3,1,30.0,2.2682524139135403,2,1,0.0
536,2,1,7.0,3.305053521109253,2,1,2.0
484,3,1,63.0,2.3596740599781727,2,3,0.0
763,3,0,20.0,2.1076888046179385,0,2,0.0
534,3,1,29.0,3.1509523813392697,0,3,2.0
714,3,0,29.0,2.3497835148230464,2,2,0.0
391,1,0,36.0,4.795790545596741,2,2,3.0
496,3,0,29.0,2.738146075922933,0,2,0.0
483,3,0,50.0,2.2027647577118348,2,2,0.0
378,1,0,27.0,5.358941988364472,0,2,2.0
366,3,0,30.0,2.1102132003465894,2,2,0.0
413,1,1,33.0,4.51085950651685,1,1,1.0
469,3,0,29.0,2.1661924680884908,1,2,0.0
410,3,1,29.0,3.275887339030031,2,1,4.0
8,3,0,2.0,3.0944457464900235,2,0,4.0
581,2,1,25.0,3.4339872044851463,2,1,2.0
156,1,0,51.0,4.133231886474144,0,2,1.0
881,2,1,25.0,3.295836866004329,2,3,1.0
426,3,0,29.0,2.1102132003465894,2,2,0.0
102,3,0,29.0,2.1855792552411137,2,2,0.0
200,2,1,24.0,2.6390573296152584,2,1,0.0
425,3,0,18.0,3.0545906305603445,2,2,2.0
299,1,0,29.0,3.449987545831587,2,2,0.0
885,3,0,25.0,2.0856720914304723,2,2,0.0
248,2,1,24.0,2.740840023925201,2,3,2.0
479,3,0,22.0,2.142510233146819,2,2,0.0
306,1,0,0.92,5.027492411162679,2,0,3.0
317,2,1,24.0,3.295836866004329,2,3,1.0
3,3,1,26.0,2.188856327665703,2,1,0.0
406,2,0,34.0,3.091042453358316,2,2,1.0
743,1,1,21.0,5.5735788721243535,0,1,4.0
261,3,0,29.0,2.169053700369523,1,2,0.0
368,3,1,29.0,2.1076888046179385,0,3,0.0
159,3,0,29.0,2.2682524139135403,2,2,0.0
555,3,1,22.0,2.1719067693519296,2,1,0.0
830,1,1,62.0,4.394449154672439,3,3,0.0
678,3,1,18.0,2.3833998102837652,2,1,0.0
381,1,1,42.0,5.4316456135398825,0,1,0.0
627,2,0,57.0,2.5915163848462583,1,4,0.0
303,3,0,19.0,0.0,2,2,0.0
433,2,1,42.0,3.295836866004329,2,3,1.0
523,3,0,29.0,2.1071782966514356,0,2,0.0
405,3,1,20.0,2.2682524139135403,2,1,0.0
844,3,0,34.5,2.006534770871748,0,2,0.0
356,3,0,28.0,2.3513752571634776,2,2,0.0
465,3,0,29.0,2.2027647577118348,2,2,0.0
754,3,0,23.0,2.1855792552411137,2,2,0.0
213,3,0,22.0,2.1102132003465894,2,2,0.0
450,1,0,52.0,3.449987545831587,2,4,0.0
80,3,1,30.0,2.600836116795061,2,1,0.0
149,2,0,36.5,3.295836866004329,2,2,2.0
429,3,0,29.0,2.169053700369523,1,2,0.0
61,3,0,22.0,2.1076888046179385,0,2,0.0
661,1,0,50.0,4.902678819257608,2,4,2.0
805,3,0,27.0,2.076311648670908,2,2,0.0
589,3,0,22.0,2.2027647577118348,2,2,0.0
766,1,1,51.0,4.368919865004903,2,3,1.0
266,2,0,36.0,2.4423470353692043,2,2,0.0
134,2,1,29.0,3.295836866004329,2,3,1.0
709,1,1,22.0,5.027492411162679,2,1,0.0
545,1,0,50.0,4.676792929661059,0,2,1.0
347,2,1,40.0,2.6390573296152584,2,1,0.0
822,3,0,27.0,2.2682524139135403,2,2,0.0
634,1,0,29.0,0.0,2,2,0.0
457,1,0,65.0,3.3160025355989236,2,2,0.0
501,3,0,17.0,2.2682524139135403,2,2,0.0
431,1,0,28.0,3.3160025355989236,2,2,0.0
446,1,0,4.0,4.417131919904876,2,0,2.0
651,3,0,29.0,2.1855792552411137,2,2,0.0
173,3,1,1.0,2.495953738718064,2,1,2.0
451,2,0,36.0,3.3586377672433594,2,2,3.0
315,2,0,43.0,3.305053521109253,2,2,2.0
333,1,0,38.0,5.039951348430309,2,2,1.0
802,2,1,31.0,3.305053521109253,2,3,2.0
91,3,0,29.0,2.2027647577118348,2,2,0.0
835,3,0,18.0,2.2300144001592104,2,2,0.0
182,2,0,29.0,2.775708849576025,0,2,0.0
