iter	Logloss
0	0.6866893983
1	0.680396948
2	0.6747734841
3	0.6685823591
4	0.6640433837
5	0.6584975853
6	0.6527642239
7	0.6467627193
8	0.641555529
9	0.6360923681
10	0.6318565969
11	0.6270739952
12	0.6223444564
13	0.6185941375
14	0.6146640135
15	0.6101459975
16	0.6064583425
17	0.6016566244
18	0.5973386872
19	0.5934105348
20	0.5895632197
21	0.586194842
22	0.5822424299
23	0.5783332225
24	0.575772189
25	0.5724043257
26	0.5689726412
27	0.5654128
28	0.5620850552
29	0.5585569317
30	0.5548878359
31	0.5512855616
32	0.5486347327
33	0.545936413
34	0.5425577057
35	0.5400757522
36	0.5376218303
37	0.5361172965
38	0.532857702
39	0.5306477922
40	0.5273321773
41	0.5240973569
42	0.5212638941
43	0.5199557101
44	0.5178585267
45	0.515317424
46	0.5140919203
47	0.5113914575
48	0.5090001567
49	0.5067891325
50	0.5042483726
51	0.502291733
52	0.5000053577
53	0.4974393523
54	0.4949546557
55	0.493076453
56	0.4911260712
57	0.4890470183
58	0.4872287364
59	0.4848262058
60	0.4831730703
61	0.4808178591
62	0.4793615448
63	0.4783257045
64	0.4765543991
65	0.4754908272
66	0.474161941
67	0.471895968
68	0.4706360463
69	0.4691693167
70	0.4682519034
71	0.4668212633
72	0.4654323278
73	0.4640521789
74	0.4630513566
75	0.4614365824
76	0.4597846471
77	0.4583404627
78	0.4577295539
79	0.4560079682
80	0.4547909512
81	0.4531184421
82	0.4515955636
83	0.4499747887
84	0.4488558823
85	0.4472799408
86	0.4463699855
87	0.4448694379
88	0.4432555638
89	0.4427722545
90	0.4414119078
91	0.4399377201
92	0.4387501063
93	0.4375936958
94	0.4365305954
95	0.4355596907
96	0.4349622834
97	0.4340758592
98	0.433031918
99	0.431940143
100	0.4311024955
101	0.4300270938
102	0.4289573927
103	0.428265518
104	0.4274585167
105	0.4261311735
106	0.4250003943
107	0.4241918928
108	0.4233474303
109	0.4221782041
110	0.4210956016
111	0.4207857968
112	0.4200196427
113	0.4190754408
114	0.4183534344
115	0.4177617277
116	0.4169785575
117	0.4160667162
118	0.415385557
119	0.4148011368
120	0.4138266317
121	0.4128474118
122	0.4121824972
123	0.4115307411
124	0.410657004
125	0.4099245821
126	0.4096949717
127	0.4090531596
128	0.4086354288
129	0.4077575341
130	0.407315715
131	0.4067393528
132	0.4062917902
133	0.4054194675
134	0.4045606463
135	0.4038219666
136	0.4031636099
137	0.4024284449
138	0.4018095209
139	0.4012560898
140	0.4004937504
141	0.4000596036
142	0.3995256745
143	0.3988411293
144	0.3981480545
145	0.3975861367
146	0.3973362098
147	0.39676872
148	0.396514464
149	0.3962299476
150	0.3955871925
151	0.394973412
152	0.394473901
153	0.393831746
154	0.393475479
155	0.3927667168
156	0.3921485644
157	0.3914244577
158	0.3908398232
159	0.3903202957
160	0.3899662146
161	0.3893901525
162	0.3889641065
163	0.3886275131
164	0.3885506619
165	0.3881643917
166	0.3876260479
167	0.3872828966
168	0.3868002302
169	0.3864306761
170	0.3858591573
171	0.3855281358
172	0.3850398546
173	0.3847927136
174	0.384154802
175	0.383783319
176	0.3834901445
177	0.3831988131
178	0.3825044525
179	0.3822173644
180	0.3816134849
181	0.3813147384
182	0.3809884746
183	0.3806543243
184	0.3804098408
185	0.3800585029
186	0.3797431689
187	0.3792101828
188	0.3788440147
189	0.3785880442
190	0.3781145503
191	0.3776864898
192	0.3774819535
193	0.3770141602
194	0.3768731878
195	0.3764115237
196	0.3760643863
197	0.3757986862
198	0.3753866989
199	0.3752526273
200	0.3747290279
201	0.3743226126
202	0.3740996886
203	0.3739066392
204	0.3738195012
205	0.3735125252
206	0.3731213688
207	0.3729920548
208	0.3727107959
209	0.3722884789
210	0.3719177246
211	0.371518553
212	0.3711558138
213	0.37090833
214	0.370552363
215	0.3702122549
216	0.3698765615
217	0.369561999
218	0.3692556231
219	0.3692198335
220	0.3689004277
221	0.3685248729
222	0.3679171787
223	0.3676090883
224	0.3674390986
225	0.3670963759
226	0.3668175172
227	0.3664463343
228	0.3659458803
229	0.3657344861
230	0.3652974247
231	0.3648968814
232	0.3647108614
233	0.3644473044
234	0.3640580767
235	0.3638378529
236	0.363512875
237	0.3632787212
238	0.3632502609
239	0.3629791174
240	0.3627441063
241	0.3624327585
242	0.3621617864
243	0.3621351263
244	0.3619659938
245	0.3619053873
246	0.3616930501
247	0.3612407299
248	0.3610992003
249	0.3610058902
250	0.360759135
